experiment_id,file_path,T_celsius,RH_percent,replicate,acquired_at,n_points,file_size_bytes,sha256,has_duplicate_marker,notes
T35_RH20_R01,data/raw/T35_RH20/Pomiar1.txt,35,20,1,2026-03-23 20:45:11,41648,2232899,b5d825c7f70a64caaabc3c4fe82c8508c4761c2f76ba0107673cc5d426b4baec,False,
T35_RH20_R10,data/raw/T35_RH20/Pomiar10.txt,35,20,10,2026-03-23 20:51:25,41648,2232889,ca3672dfca02fc702b9448a5d797f4eb7c68268f8e259e8f3c2d04c885927b2e,False,
T35_RH20_R11,data/raw/T35_RH20/Pomiar11.txt,35,20,11,2026-03-23 20:52:07,41648,2232881,43f4489beb6c33fdfd791e613e03e0b9abe4a67aa850659b1efd14775735dd50,False,
T35_RH20_R12,data/raw/T35_RH20/Pomiar12.txt,35,20,12,2026-03-23 20:52:49,41648,2232879,7447372f43b9f4b45e27317e4045793ea7be4a19509ca0a836535c4a88835dec,False,
T35_RH20_R13,data/raw/T35_RH20/Pomiar13.txt,35,20,13,2026-03-23 20:53:30,41648,2232881,fbe650e41e876db68354e54057c5f1ee7c695f868df2c323c640180d3595b1ef,False,
T35_RH20_R14,data/raw/T35_RH20/Pomiar14.txt,35,20,14,2026-03-23 20:54:12,41648,2232881,494727aeba56262acb65380e99caf873c310b434e8b4eb0678ea7d5dbab0f1c9,False,
T35_RH20_R15,data/raw/T35_RH20/Pomiar15.txt,35,20,15,2026-03-23 20:54:53,41648,2232887,f48912595a1dd9933a028b71fbc6c0ffe6cc9561d745d3c0731fe95c9a7e7d55,False,
T35_RH20_R16,data/raw/T35_RH20/Pomiar16.txt,35,20,16,2026-03-23 20:55:35,41648,2232886,74433f879dd5de12159597844ac4bc90b70f0bc7caed78407faaacbe1c23b76a,False,
T35_RH20_R17,data/raw/T35_RH20/Pomiar17.txt,35,20,17,2026-03-23 20:56:17,41648,2232884,86f306468b82a4fc7a4769e921616e54af6622f7a2820432b820fa8b8f0e645c,False,
T35_RH20_R18,data/raw/T35_RH20/Pomiar18.txt,35,20,18,2026-03-23 20:56:58,41648,2232888,a653cdc683df1a089a59d8c97c28028dd94616673a839c9c7324f16db305ed99,False,
T35_RH20_R19,data/raw/T35_RH20/Pomiar19.txt,35,20,19,2026-03-23 20:57:40,41648,2232876,76e97023f0811926ea67f893fa5b945aa511ad8cf5cb7a5b50e9b3ffb0615fee,False,
T35_RH20_R02,data/raw/T35_RH20/Pomiar2.txt,35,20,2,2026-03-23 20:45:53,41648,2232898,5ab3fcaa20764bff186931155b4eb64b3d335a0f68e1a3022a0ee4bad416bfae,False,
T35_RH20_R20,data/raw/T35_RH20/Pomiar20.txt,35,20,20,2026-03-23 20:58:21,41648,2232902,8dd3a7d3539a6db8b730734886d3b68b09238418f3c7b91da9e43bd761ca0794,False,
T35_RH20_R03,data/raw/T35_RH20/Pomiar3.txt,35,20,3,2026-03-23 20:46:34,41648,2232896,2655665d50e81f0e3b69723d1c67e760d619ef23554fbb3bddbae3cde31e7d3d,False,
T35_RH20_R04,data/raw/T35_RH20/Pomiar4.txt,35,20,4,2026-03-23 20:47:16,41648,2232887,7cb222b25020ae39c7a8d6fe015472cfa2bacccfa66d51c0758dde86b609155c,False,
T35_RH20_R05,data/raw/T35_RH20/Pomiar5.txt,35,20,5,2026-03-23 20:47:58,41648,2232885,cd4e3009fae7c06ff6e7810a23743593ae07f16a3754598f135486ad720ce1c0,False,
T35_RH20_R06,data/raw/T35_RH20/Pomiar6.txt,35,20,6,2026-03-23 20:48:39,41648,2232878,83720a51c3a9bf38046a53b0b792325f364263c28dc11ac45ec3836fadeb01c3,False,
T35_RH20_R07,data/raw/T35_RH20/Pomiar7.txt,35,20,7,2026-03-23 20:49:21,41648,2232883,7b1289f69c2e11c91a457f10be33269213c5dd1ef3d603403164b358e92380dd,False,
T35_RH20_R08,data/raw/T35_RH20/Pomiar8.txt,35,20,8,2026-03-23 20:50:02,41648,2232882,3018db5b10c79e332747d6684654ccc533f7b573c60adc53fa95aedd01bdf678,False,
T35_RH20_R09,data/raw/T35_RH20/Pomiar9.txt,35,20,9,2026-03-23 20:50:44,41648,2232887,605833bf9cd248509448a1d71a38167c919e64cc10593cc3fb8ff9c193d5a9bb,False,
T35_RH30_R01,data/raw/T35_RH30/Pomiar1.txt,35,30,1,2026-03-24 05:18:56,41648,2232633,5bf6e6f02d9aa3b25f28cea440b4fdc29225545745b7354689a5a58f32fa2222,False,
T35_RH30_R10,data/raw/T35_RH30/Pomiar10.txt,35,30,10,2026-03-24 05:25:09,41648,2232633,480f3013e9a24541e4848f694028071e03d6756a708c66def5430d46a4017ed3,False,
T35_RH30_R11,data/raw/T35_RH30/Pomiar11.txt,35,30,11,2026-03-24 05:25:51,41648,2232640,2a640371131e85f0bea3a69a4c482ed26715a13fbeae4ca90a4fdd7aeed2cf39,False,
T35_RH30_R12,data/raw/T35_RH30/Pomiar12.txt,35,30,12,2026-03-24 05:26:33,41648,2232645,1f0477cc3ae4e42cc764f796e5ccdc80a3f853c643db27512ec4169cd6c516f6,False,
T35_RH30_R13,data/raw/T35_RH30/Pomiar13.txt,35,30,13,2026-03-24 05:27:14,41648,2232639,df14540f71b4830f11a3969b480f0f76590c68fd45f7f17b281279886c8582dd,False,
T35_RH30_R14,data/raw/T35_RH30/Pomiar14.txt,35,30,14,2026-03-24 05:27:56,41648,2232641,30b4bca8860ea0d5d8df73201b83f73f5469256af9c8ea7c2d6d7ad5c1d706bf,False,
T35_RH30_R15,data/raw/T35_RH30/Pomiar15.txt,35,30,15,2026-03-24 05:28:37,41648,2232636,fe78fd14740987919e5c52b9a46d2e1c03d356bef8bd6e27a9f83ab70bffe4bc,False,
T35_RH30_R16,data/raw/T35_RH30/Pomiar16.txt,35,30,16,2026-03-24 05:29:19,41648,2232634,81a1f7ec569ad83ec6e50722d13c9085dd9b24c2f1e0a21fb05f5baaccf7f18b,False,
T35_RH30_R17,data/raw/T35_RH30/Pomiar17.txt,35,30,17,2026-03-24 05:30:00,41648,2232651,ad56c57663c41086704b969476a0b28fdd1b36e00c562b258f74fa8c47efe6cc,False,
