Acquired on 3/23/2026 at 20:45:11
Calibrated on 2/21/2023 at 03:14:48
Device Descriptor:  [none]
Scan Range (nm):  1545.445  --  1588.034
Measurement Type:  Reflection
Group Index:  1.500
Gain:  24 dB
Domain:  Time
Spatial Resolution (mm):  0.100209
Frequency domain window was not applied to measurement data.
Gage length:  1.000766 cm
Sensor spacing:  0.099884 cm
Number of Data Points (in this file):  41648
NOTE: Data stored in this file is not decimated.

Length (m)	Length (m)	Amplitude (dB/mm)	Spectral Shift (GHz)	Spectral Shift Quality	
2.59206176E+000	2.59706569E+000	-1.05911362E+002	-3.53460007E+001	2.67293900E-001	
2.59208107E+000	2.59806442E+000	-1.07618652E+002	-3.76626663E+001	2.61507720E-001	
2.59210014E+000	2.59906340E+000	-1.07138428E+002	-4.01163902E+001	2.81726360E-001	
2.59211946E+000	2.60006213E+000	-1.06721848E+002	-4.01287956E+001	2.65220225E-001	
2.59213853E+000	2.60106111E+000	-1.08820450E+002	-4.05443153E+001	2.20785975E-001	
2.59215784E+000	2.60205984E+000	-1.07980797E+002	-3.98422775E+001	2.13828668E-001	
2.59217715E+000	2.60305882E+000	-1.07259941E+002	-4.01315918E+001	2.32434914E-001	
2.59219623E+000	2.60405755E+000	-1.08097504E+002	-3.88220863E+001	2.26545423E-001	
2.59221554E+000	2.60505652E+000	-1.09913315E+002	-3.91467476E+001	2.36755520E-001	
2.59223461E+000	2.60605526E+000	-1.09167091E+002	-4.06643181E+001	2.16455340E-001	
2.59225392E+000	2.60705423E+000	-1.08284409E+002	-4.07533150E+001	2.54755467E-001	
2.59227300E+000	2.60805297E+000	-1.08586113E+002	-4.17440491E+001	2.26348534E-001	
2.59229231E+000	2.60905194E+000	-1.08197853E+002	-4.21887131E+001	2.74734974E-001	
2.59231162E+000	2.61005068E+000	-1.07818954E+002	-4.19701004E+001	2.66724437E-001	
2.59233069E+000	2.61104941E+000	-1.06919930E+002	-4.13040314E+001	2.29246765E-001	
2.59235001E+000	2.61204839E+000	-1.07335312E+002	-4.03449326E+001	2.17133299E-001	
2.59236908E+000	2.61304712E+000	-1.07641586E+002	-4.01663208E+001	2.33996496E-001	
2.59238839E+000	2.61404610E+000	-1.08083809E+002	-3.88248787E+001	2.65060931E-001	
2.59240746E+000	2.61504483E+000	-1.08547272E+002	-3.75925865E+001	2.56433487E-001	
