experiment_id,T,RH,replicate,ch1_mean,ch1_std,ch1_q_mean,ch2_mean,ch2_std,ch2_q_mean
T35_RH20_R01,35,20,1,-13.003927,0.3009311,0.54027647,-14.866605,0.105965994,0.8298007
T35_RH20_R02,35,20,2,-12.950387,0.22424158,0.5322564,-14.871639,0.11634556,0.82081634
T35_RH20_R03,35,20,3,-13.0038595,0.25517267,0.5314188,-14.890278,0.13605353,0.82199174
T35_RH20_R04,35,20,4,-12.937507,0.22679184,0.5342228,-14.800628,0.18473473,0.81116027
T35_RH20_R05,35,20,5,-12.952256,0.26064172,0.55028677,-14.868537,0.16708682,0.8136873
T35_RH20_R06,35,20,6,-12.980736,0.23751095,0.5450413,-14.900283,0.15418348,0.8050927
T35_RH20_R07,35,20,7,-12.939796,0.24153346,0.5485315,-14.805068,0.18905874,0.81336087
T35_RH20_R08,35,20,8,-13.005411,0.23508751,0.54513067,-14.854958,0.15342295,0.80771494
T35_RH20_R09,35,20,9,-12.957618,0.2788266,0.5321016,-14.851444,0.15310451,0.8109765
T35_RH20_R10,35,20,10,-12.947855,0.23846085,0.55021054,-14.765332,0.1939731,0.81041783
T35_RH20_R11,35,20,11,-12.932534,0.21868199,0.5400863,-14.784143,0.19342458,0.80881655
T35_RH20_R12,35,20,12,-13.021191,0.2678604,0.53440315,-14.861865,0.14598705,0.8071453
T35_RH20_R13,35,20,13,-12.964126,0.22613724,0.53662807,-14.838508,0.15599395,0.8136576
T35_RH20_R14,35,20,14,-12.960652,0.2850668,0.53391045,-14.7599745,0.21654797,0.8182991
T35_RH20_R15,35,20,15,-12.9639,0.24717829,0.5245439,-14.832402,0.1688103,0.8098685
T35_RH20_R16,35,20,16,-12.853139,0.18919742,0.55527115,-14.713048,0.1925989,0.8054199
T35_RH20_R17,35,20,17,-12.966232,0.23436528,0.55517733,-14.779227,0.19448145,0.81581867
T35_RH20_R18,35,20,18,-12.928062,0.24272393,0.538972,-14.733304,0.1900153,0.8143393
T35_RH20_R19,35,20,19,-12.880792,0.21824189,0.5275212,-14.692275,0.22007658,0.818269
T35_RH20_R20,35,20,20,-12.919145,0.2780574,0.5329444,-14.753721,0.2118451,0.8285625
T35_RH30_R01,35,30,1,-13.064579,0.30796528,0.5537082,-15.083105,0.11739981,0.814503
T35_RH30_R02,35,30,2,-13.012198,0.2828092,0.5548327,-15.059808,0.10564559,0.8021773
T35_RH30_R03,35,30,3,-13.010605,0.2643594,0.5526171,-15.040618,0.14274774,0.813539
T35_RH30_R04,35,30,4,-13.037974,0.24348088,0.5504637,-15.07296,0.10218192,0.8050838
T35_RH30_R05,35,30,5,-13.016361,0.26766232,0.55180115,-15.061248,0.10508313,0.81142265
T35_RH30_R06,35,30,6,-13.050558,0.2573702,0.55137795,-15.055303,0.12059669,0.8051804
T35_RH30_R07,35,30,7,-13.027199,0.23655833,0.55193406,-15.07196,0.14416558,0.80257493
T35_RH30_R08,35,30,8,-13.018223,0.24608108,0.5589373,-15.045982,0.12129808,0.8066966
T35_RH30_R09,35,30,9,-13.044798,0.27179897,0.54902923,-15.061692,0.14106023,0.8101821
T35_RH30_R10,35,30,10,-13.076016,0.332008,0.5428001,-15.088956,0.107312076,0.8059153
T35_RH30_R11,35,30,11,-13.058015,0.289893,0.5507016,-15.077782,0.11660306,0.813963
T35_RH30_R12,35,30,12,-13.011346,0.23474552,0.5605208,-15.05109,0.12624756,0.81057835
T35_RH30_R13,35,30,13,-13.035701,0.2345818,0.55461437,-15.059065,0.103659675,0.80556846
T35_RH30_R14,35,30,14,-13.083273,0.29129308,0.5534334,-15.098947,0.10969164,0.8056345
T35_RH30_R15,35,30,15,-13.035455,0.24395862,0.5505527,-15.067425,0.11271406,0.81311476
T35_RH30_R16,35,30,16,-13.013865,0.289027,0.5499333,-15.055399,0.13363445,0.7988378
T35_RH30_R17,35,30,17,-13.068109,0.29365635,0.5519121,-15.117817,0.086534955,0.8097749
T35_RH30_R18,35,30,18,-12.998087,0.24215329,0.5561556,-15.065343,0.092420526,0.80378777
T35_RH30_R19,35,30,19,-13.028684,0.24482718,0.55044204,-15.07199,0.1051551,0.8056005
T35_RH30_R20,35,30,20,-13.037821,0.28323153,0.55202186,-15.071249,0.12573545,0.8053178
T35_RH40_R01,35,40,1,-12.921827,0.22878623,0.548707,-16.645939,0.101539195,0.80478907
T35_RH40_R02,35,40,2,-12.893622,0.22904399,0.55393124,-16.590572,0.12177516,0.7965884
T35_RH40_R03,35,40,3,-12.8614855,0.20094989,0.5431707,-16.580273,0.12333235,0.8007065
T35_RH40_R04,35,40,4,-12.868328,0.1999566,0.54903615,-16.631857,0.09647084,0.7892364
T35_RH40_R05,35,40,5,-12.902371,0.21253556,0.5538429,-16.651817,0.09165738,0.80392236
T35_RH40_R06,35,40,6,-12.868502,0.18701878,0.54158574,-16.584671,0.10742732,0.80385894
T35_RH40_R07,35,40,7,-12.880838,0.20436093,0.5477686,-16.61664,0.11417814,0.7942408
T35_RH40_R08,35,40,8,-12.927922,0.22303328,0.54260004,-16.651316,0.088982955,0.7943403
T35_RH40_R09,35,40,9,-12.904201,0.17601402,0.5428737,-16.59205,0.12445158,0.7898103
T35_RH40_R10,35,40,10,-12.85127,0.14676715,0.5590742,-16.586123,0.11442623,0.79629874
T35_RH40_R11,35,40,11,-12.894254,0.20511702,0.54971147,-16.621393,0.088193566,0.8016047
T35_RH40_R12,35,40,12,-12.912128,0.2295026,0.5585225,-16.589718,0.12267231,0.8020812
T35_RH40_R13,35,40,13,-12.92411,0.17089641,0.5551608,-16.629524,0.114356264,0.8057205
T35_RH40_R14,35,40,14,-12.87785,0.2291615,0.53669554,-16.61808,0.114903495,0.7940837
T35_RH40_R15,35,40,15,-12.921127,0.26185775,0.54809666,-16.604696,0.12710054,0.81110287
T35_RH40_R16,35,40,16,-12.897569,0.22415714,0.55571276,-16.629387,0.124050386,0.8054444
T35_RH40_R17,35,40,17,-12.892868,0.21687728,0.55888116,-16.636698,0.09592791,0.8056818
T35_RH40_R18,35,40,18,-12.841675,0.17669809,0.55069077,-16.638128,0.10503984,0.80807126
T35_RH40_R19,35,40,19,-12.89514,0.22600576,0.5605123,-16.615326,0.12739508,0.8025785
T35_RH40_R20,35,40,20,-12.881709,0.20012859,0.54627395,-16.6047,0.115251586,0.802754
T35_RH50_R01,35,50,1,-12.788967,0.1856952,0.54882526,-18.46611,0.23273097,0.79254174
T35_RH50_R02,35,50,2,-12.842275,0.18726255,0.549942,-18.548796,0.2062077,0.79556763
T35_RH50_R03,35,50,3,-12.801894,0.17014067,0.56542337,-18.49625,0.2140292,0.7909385
T35_RH50_R04,35,50,4,-12.809803,0.16918364,0.55028474,-18.503387,0.21161196,0.78667855
T35_RH50_R05,35,50,5,-12.860469,0.22309473,0.5466855,-18.573082,0.22962208,0.78358525
T35_RH50_R06,35,50,6,-12.825669,0.1877032,0.5445428,-18.506989,0.24460278,0.7881891
T35_RH50_R07,35,50,7,-12.851824,0.16482486,0.5524392,-18.540709,0.22062276,0.79325575
T35_RH50_R08,35,50,8,-12.869033,0.2199533,0.5480014,-18.566088,0.217974,0.7798732
T35_RH50_R09,35,50,9,-12.794468,0.17524518,0.5457125,-18.491867,0.23160253,0.7932722
T35_RH50_R10,35,50,10,-12.773961,0.15661986,0.5551283,-18.479038,0.25671494,0.7989101
T35_RH50_R11,35,50,11,-12.861749,0.20040236,0.5417094,-18.515675,0.22697957,0.788087
T35_RH50_R12,35,50,12,-12.740573,0.18314789,0.54085445,-18.50758,0.2101949,0.78835386
T35_RH50_R13,35,50,13,-12.819006,0.17335476,0.5530422,-18.5192,0.2594885,0.79462385
T35_RH50_R14,35,50,14,-12.863629,0.23768729,0.5432067,-18.567884,0.20636624,0.7851647
T35_RH50_R15,35,50,15,-12.814733,0.20957407,0.55301327,-18.525635,0.22022292,0.78975105
T35_RH50_R16,35,50,16,-12.82128,0.20059226,0.5395312,-18.567745,0.1946409,0.7872687
