T,RH,target,mae,rmse,max_abs,n_samples,model
35,20,RH,5.124367846800155,5.154868210180707,5.59189122015254,3,ridge
35,20,T,0.12922394811074867,0.1344316476188823,0.17492695216621712,3,ridge
35,30,RH,3.2079307771144165,3.2298669078933187,3.658813972409291,3,ridge
35,30,T,0.3036029916772189,0.30527167675744094,0.3482777957847816,3,ridge
35,40,RH,2.9895239655600605,3.010958070071828,3.4691290808015722,3,ridge
35,40,T,0.0676454085302538,0.09251483436365505,0.1541270828006276,3,ridge
35,50,RH,0.8189298794080196,0.821623099180064,0.912706859587388,3,ridge
35,50,T,0.048731364314358906,0.060120120889246786,0.09782749831092019,3,ridge
35,60,RH,1.054970389074846,1.3479130714234289,2.062047788100216,3,ridge
35,60,T,0.11466419104948973,0.1743956762189249,0.3001773116705948,3,ridge
35,70,RH,1.304727007819082,1.3257230072598352,1.6370488663751814,3,ridge
35,70,T,0.052626473267627226,0.06529838724073084,0.10558709673713906,3,ridge
35,80,RH,1.4108781350462085,1.8135532204613387,2.902292907837449,3,ridge
35,80,T,0.11380212692120277,0.1378855403951437,0.18432206729679024,3,ridge
45,20,RH,2.2822741173026984,2.29405215251643,2.54233106123354,3,ridge
45,20,T,0.07714629560033852,0.07836623606102582,0.0952891031655696,3,ridge
45,30,RH,1.2525448187886283,1.2717482090045278,1.5573203276219552,3,ridge
45,30,T,0.22176622122780287,0.23594644172008872,0.33569933940085406,3,ridge
45,40,RH,3.1635578754100186,3.188454582671699,3.6144805717513293,3,ridge
45,40,T,0.10155363211860428,0.12243108268129774,0.18661850430964932,3,ridge
45,50,RH,1.3464999919144727,1.3583590226367992,1.5011815091325715,3,ridge
45,50,T,0.19275034139448147,0.19468116119240073,0.22960235918711192,3,ridge
45,60,RH,0.5330216850728675,0.5585667173736968,0.7179699493728577,3,ridge
45,60,T,0.2064003367693843,0.21816933483077688,0.28674131060730446,3,ridge
45,70,RH,0.8709560128609866,1.1362970318341208,1.7869069603542869,3,ridge
45,70,T,0.1360909003830694,0.14113277569912977,0.1889146251603009,3,ridge
45,80,RH,0.9168117005559253,1.3715447495403352,2.342046064929221,3,ridge
45,80,T,0.09893258726681135,0.10164323284434924,0.12397305567887429,3,ridge
55,20,RH,2.280750253159759,2.370162218106216,2.757556945785936,3,ridge
55,20,T,0.0656737136614159,0.09289039757762278,0.1581868395394892,3,ridge
55,30,RH,1.4252801684216923,1.4308932006150108,1.5519146384762799,3,ridge
55,30,T,0.34360263070119856,0.34489807691088353,0.3710971770818503,3,ridge
55,40,RH,0.5293950237356029,0.5313440152914022,0.5911059746298619,3,ridge
55,40,T,0.16970114728009852,0.17932601922173846,0.24791875550030795,3,ridge
55,50,RH,0.24973986017990057,0.30260627362525894,0.46927005212506145,3,ridge
55,50,T,0.058581591803324784,0.08852509540408161,0.15240706419508143,3,ridge
55,60,RH,0.7075126601551057,0.9257582965670962,1.539582528389296,3,ridge
55,60,T,0.0534778429459782,0.06211247465067434,0.09639702670254735,3,ridge
55,70,RH,1.1624217667638892,1.2386039536155864,1.767015449857439,3,ridge
55,70,T,0.040014894079438555,0.046706248466403845,0.07408173681352537,3,ridge
55,80,RH,0.4268022906995365,0.4812173410114233,0.716686825486093,3,ridge
55,80,T,0.049196554954332804,0.05651287906670856,0.08594840609702459,3,ridge
