T,RH,target,mae,rmse,max_abs,n_samples,model
35,20,RH,404.0921630859375,404.0962911237865,406.6073303222656,3,cnn1d
35,20,T,242.78016662597656,242.78089401763063,243.60076904296875,3,cnn1d
35,30,RH,418.6452331542969,418.64603186940633,419.6011047363281,3,cnn1d
35,30,T,249.05128479003906,249.05159951052312,249.59844970703125,3,cnn1d
35,40,RH,589.6758422851562,589.6846614929034,594.194091796875,3,cnn1d
35,40,T,272.7445068359375,272.74460065691494,273.049560546875,3,cnn1d
35,50,RH,811.3650512695312,811.3734882900723,815.564208984375,3,cnn1d
35,50,T,282.7353820800781,282.7354660278756,283.00341796875,3,cnn1d
35,60,RH,1002.3978881835938,1002.4481595075129,1015.0064697265625,3,cnn1d
35,60,T,296.385009765625,296.3889573896099,298.358642578125,3,cnn1d
35,70,RH,1246.8487548828125,1246.8506325939768,1249.34130859375,3,cnn1d
35,70,T,310.30914306640625,310.30938442544726,310.6953430175781,3,cnn1d
35,80,RH,1391.0596923828125,1392.3424506923575,1470.6947021484375,3,cnn1d
35,80,T,307.6970520019531,307.7374718205438,314.22576904296875,3,cnn1d
45,20,RH,746.9452514648438,746.9567842251652,752.7283325195312,3,cnn1d
45,20,T,453.6512756347656,453.6530888244893,455.4314270019531,3,cnn1d
45,30,RH,789.2529296875,789.2576813056684,793.1302490234375,3,cnn1d
45,30,T,465.5301818847656,465.5305608926228,466.339111328125,3,cnn1d
45,40,RH,963.7959594726562,963.7970157144086,965.4855346679688,3,cnn1d
45,40,T,496.1457214355469,496.14578565679665,496.423095703125,3,cnn1d
45,50,RH,1154.8916015625,1154.9011321320972,1158.6756591796875,3,cnn1d
45,50,T,527.5291137695312,527.5293830679008,527.8850708007812,3,cnn1d
45,60,RH,1308.8004150390625,1309.2737968049312,1358.3270263671875,3,cnn1d
45,60,T,539.5924682617188,539.6324848913379,545.7269897460938,3,cnn1d
45,70,RH,1585.8699951171875,1585.9937736321665,1600.032958984375,3,cnn1d
45,70,T,549.7257690429688,549.725812337387,549.8927001953125,3,cnn1d
45,80,RH,1671.3603515625,1674.101923420435,1806.775146484375,3,cnn1d
45,80,T,541.8318481445312,542.0133762187055,561.665771484375,3,cnn1d
55,20,RH,1084.6702880859375,1084.6722431223175,1086.598876953125,3,cnn1d
55,20,T,670.7699584960938,670.7703593630238,671.6112060546875,3,cnn1d
55,30,RH,1196.44482421875,1196.4449423187011,1196.95751953125,3,cnn1d
55,30,T,688.9636840820312,688.9636918952987,689.196533203125,3,cnn1d
55,40,RH,1344.08447265625,1344.1176938795204,1356.25732421875,3,cnn1d
55,40,T,720.7900390625,720.792033980676,723.1131591796875,3,cnn1d
55,50,RH,1508.8067626953125,1509.3263397953406,1545.9105224609375,3,cnn1d
55,50,T,749.7978515625,749.8174777904287,755.3961791992188,3,cnn1d
55,60,RH,1647.5885009765625,1648.6270803307823,1728.68115234375,3,cnn1d
55,60,T,768.3701171875,768.4551467066897,784.1529541015625,3,cnn1d
55,70,RH,1860.5076904296875,1862.2590448162682,1941.8564453125,3,cnn1d
55,70,T,788.09814453125,788.3658731832575,804.1322631835938,3,cnn1d
55,80,RH,2058.214599609375,2061.2456185520446,2137.7119140625,3,cnn1d
55,80,T,795.4103393554688,795.7393967248323,811.664794921875,3,cnn1d
65,20,RH,1422.6416015625,1422.6468289775928,1428.12841796875,3,cnn1d
65,20,T,886.1753540039062,886.1753847292307,886.4879150390625,3,cnn1d
65,30,RH,1544.28466796875,1544.3088259800888,1553.970703125,3,cnn1d
65,30,T,912.48828125,912.4967123228445,917.9271240234375,3,cnn1d
65,40,RH,1696.3265380859375,1697.0485408496718,1735.41845703125,3,cnn1d
65,40,T,949.3623657226562,949.3960251128083,955.5263671875,3,cnn1d
65,50,RH,1784.38818359375,1784.7891332031356,1836.062255859375,3,cnn1d
65,50,T,959.6355590820312,959.6986506190368,974.51171875,3,cnn1d
65,60,RH,2025.8089599609375,2027.104585363074,2077.870361328125,3,cnn1d
65,60,T,1002.4557495117188,1002.5999015060794,1014.7540283203125,3,cnn1d
65,70,RH,2239.423583984375,2239.6206151935644,2260.483154296875,3,cnn1d
65,70,T,1041.3509521484375,1041.358367710175,1044.37841796875,3,cnn1d
65,80,RH,2179.89794921875,2180.0182338686986,2212.1064453125,3,cnn1d
65,80,T,1006.3034057617188,1006.3149357929653,1012.379638671875,3,cnn1d
75,20,RH,1725.1722412109375,1725.174701298393,1727.3072509765625,3,cnn1d
75,20,T,1096.9617919921875,1096.96177007223,1097.1029052734375,3,cnn1d
75,30,RH,1884.9407958984375,1885.0135941154376,1901.53662109375,3,cnn1d
75,30,T,1132.8895263671875,1132.895681428789,1135.8812255859375,3,cnn1d
75,40,RH,2001.109375,2001.4916312590467,2055.051025390625,3,cnn1d
75,40,T,1162.2109375,1162.2430898912671,1174.15234375,3,cnn1d
75,50,RH,2128.963623046875,2130.2858963059393,2234.41015625,3,cnn1d
75,50,T,1189.2056884765625,1189.312564046979,1211.74462890625,3,cnn1d
75,60,RH,2187.302734375,2187.4874856784895,2207.804931640625,3,cnn1d
75,60,T,1193.626953125,1193.6326905710987,1197.0458984375,3,cnn1d
75,70,RH,2386.593017578125,2390.239318562056,2572.107421875,3,cnn1d
75,70,T,1221.8824462890625,1222.352598475579,1269.7044677734375,3,cnn1d
75,80,RH,2571.451904296875,2575.622934359764,2778.014892578125,3,cnn1d
75,80,T,1252.51171875,1253.0286808369551,1303.3204345703125,3,cnn1d
