target,mae,rmse,r2,max_abs,n_samples,T_holdout,RH_holdout
T,4.272683312933623e-06,4.272683312933624e-06,0.0,4.272683312933623e-06,20,35,20
RH,11.780027102794438,12.06846379450466,0.0,18.009633985680402,20,35,20
T,4.272683312933623e-06,4.272683312933624e-06,0.0,4.272683312933623e-06,20,35,30
RH,8.20539005778994,8.228661438229297,0.0,9.588959964136041,20,35,30
T,4.272683312933623e-06,4.272683312933624e-06,0.0,4.272683312933623e-06,20,35,40
RH,4.9946049276818965,5.2229953065186425,0.0,8.422231025358087,20,35,40
T,4.272683312933623e-06,4.272683312933624e-06,0.0,4.272683312933623e-06,20,35,50
RH,11.102834067849043,11.419661131881796,0.0,14.611426077695839,20,35,50
T,4.272683312933623e-06,4.272683312933624e-06,0.0,4.272683312933623e-06,20,35,60
RH,8.704382289148109,9.000364046055262,0.0,13.907950358307929,20,35,60
T,4.272683312933623e-06,4.272683312933624e-06,0.0,4.272683312933623e-06,20,35,70
RH,6.6126325768517145,6.778595145951923,0.0,8.2190155204446,20,35,70
T,4.272683312933623e-06,4.272683312933624e-06,0.0,4.272683312933623e-06,20,35,80
RH,6.999942178835857,7.0120608062092264,0.0,7.928352805755921,20,35,80
T,2.1363416422559567e-06,2.136341642255957e-06,0.0,2.1363416422559567e-06,20,45,20
RH,9.98136646333528,10.231410983236708,0.0,13.61286297114816,20,45,20
T,2.1363416422559567e-06,2.136341642255957e-06,0.0,2.1363416422559567e-06,20,45,30
RH,2.2298474907908314,2.612475924749053,0.0,6.130587171074108,20,45,30
T,2.1363416422559567e-06,2.136341642255957e-06,0.0,2.1363416422559567e-06,20,45,40
RH,8.273959012982496,8.34074750176549,0.0,10.280563156069348,20,45,40
T,2.1363416422559567e-06,2.136341642255957e-06,0.0,2.1363416422559567e-06,20,45,50
RH,13.293241491689738,14.119131245141768,0.0,20.12645219668882,20,45,50
T,2.1363416422559567e-06,2.136341642255957e-06,0.0,2.1363416422559567e-06,20,45,60
RH,2.7442096938249203,3.5286828847691343,0.0,7.827061080498339,20,45,60
T,2.1363416422559567e-06,2.136341642255957e-06,0.0,2.1363416422559567e-06,20,45,70
RH,1.1220313344214667,1.5779016430585795,0.0,4.327642759268684,20,45,70
