target,mae,rmse,r2,max_abs,n_samples,T_holdout,RH_holdout
T,0.06576061248779297,0.08236839064195434,0.0,0.1864013671875,20,35,20
RH,8.991920471191406,8.993076628501157,0.0,9.267139434814453,20,35,20
T,0.4943813383579254,0.49755588339833895,0.0,0.6227798461914062,20,35,30
RH,7.0681867599487305,7.068760620433003,0.0,7.273603439331055,20,35,30
T,0.6972762942314148,0.7003735005656961,0.0,0.8032989501953125,20,35,40
RH,5.097149848937988,5.129996120756292,0.0,6.499141693115234,20,35,40
T,0.5603330731391907,0.5643487061535822,0.0,0.7543411254882812,20,35,50
RH,0.9594568014144897,1.0511515932596636,0.0,2.0219383239746094,20,35,50
T,0.47989577054977417,0.5138894552221986,0.0,0.7174148559570312,20,35,60
RH,2.6728529930114746,2.8398393843458534,0.0,5.258949279785156,20,35,60
T,0.516706109046936,0.5468736376064224,0.0,0.7181854248046875,20,35,70
RH,1.7249988317489624,2.007347914087979,0.0,3.6828765869140625,20,35,70
T,0.9310010671615601,1.12548949930452,0.0,1.5778121948242188,20,35,80
RH,5.230462551116943,5.328804576861849,0.0,6.6846466064453125,20,35,80
T,0.2237934172153473,0.25138472975287174,0.0,0.5392799377441406,20,45,20
RH,4.379899978637695,4.394873033583933,0.0,5.4874114990234375,20,45,20
T,0.26679858565330505,0.2830379793820851,0.0,0.45970916748046875,20,45,30
RH,8.625388145446777,8.626764089436152,0.0,8.948772430419922,20,45,30
T,0.08473549038171768,0.1097733362550481,0.0,0.2584648132324219,20,45,40
RH,3.1249709129333496,3.151265353415469,0.0,4.020145416259766,20,45,40
T,0.6475385427474976,0.6613883309355513,0.0,1.0526618957519531,20,45,50
RH,1.0058000087738037,1.1383704805712733,0.0,2.2279624938964844,20,45,50
T,0.5985601544380188,0.6319271063143713,0.0,1.0652084350585938,20,45,60
RH,2.623885154724121,3.0956723184587034,0.0,7.421161651611328,20,45,60
T,0.731803297996521,1.0474117667973106,0.0,1.9197883605957031,20,45,70
RH,4.3994460105896,4.4365755649521255,0.0,5.8321075439453125,20,45,70
T,0.6108131408691406,0.7710595615155031,0.0,1.9088897705078125,20,45,80
RH,0.4907127320766449,0.6559394828399304,0.0,2.0472335815429688,20,45,80
T,0.9289369583129883,0.9319470619364513,0.0,1.1093254089355469,20,55,20
RH,1.4738290309906006,1.48953074471359,0.0,1.8264923095703125,20,55,20
T,0.2510889172554016,0.25877829475313885,0.0,0.34741973876953125,20,55,30
RH,5.496814727783203,5.528188774297381,0.0,6.556602478027344,20,55,30
T,0.518959641456604,0.5623928338856584,0.0,1.0183944702148438,20,55,40
RH,2.3352487087249756,2.587063362764148,0.0,4.405479431152344,20,55,40
T,0.3872123658657074,0.4722994411279028,0.0,0.8962860107421875,20,55,50
RH,1.624173879623413,1.7761976634079468,0.0,3.1096458435058594,20,55,50
T,0.5871841311454773,0.7212543395521759,0.0,1.3227996826171875,20,55,60
RH,0.7932636141777039,0.9439605313855501,0.0,2.30487060546875,20,55,60
T,0.5757425427436829,0.8752381477523213,0.0,1.8012466430664062,20,55,70
RH,0.8268203735351562,0.957480251317756,0.0,1.8160629272460938,20,55,70
T,0.7836662530899048,0.8601751936958191,0.0,1.49017333984375,20,55,80
RH,1.6301352977752686,1.7895872853967847,0.0,2.8107757568359375,20,55,80
T,0.5133331418037415,0.5203496753597411,0.0,0.7047576904296875,20,65,20
RH,1.5654551982879639,1.6037239190327564,0.0,2.7267704010009766,20,65,20
T,0.5735759735107422,0.590162910866208,0.0,0.9069137573242188,20,65,30
RH,1.6103261709213257,1.7451430085614217,0.0,2.5091381072998047,20,65,30
T,0.545091986656189,0.6552607027683938,0.0,1.2139511108398438,20,65,40
RH,2.901259660720825,3.191941700797347,0.0,5.361236572265625,20,65,40
T,1.4923232793807983,1.5312277344622442,0.0,1.8982162475585938,20,65,50
RH,0.6986425518989563,0.9100649218928196,0.0,2.426532745361328,20,65,50
T,0.46577948331832886,0.6879249689820758,0.0,1.2916717529296875,20,65,60
RH,1.1661136150360107,1.3639741901769296,0.0,2.9666366577148438,20,65,60
T,0.4672527313232422,0.6553695994737961,0.0,1.6553955078125,20,65,70
RH,1.1127300262451172,1.2162638027744856,0.0,1.99993896484375,20,65,70
T,0.4542404115200043,0.471536666005741,0.0,0.6127548217773438,20,65,80
RH,3.274501085281372,3.28472048378796,0.0,3.793853759765625,20,65,80
T,0.18102531135082245,0.19212090144690616,0.0,0.296234130859375,20,75,20
RH,5.023760795593262,5.026796822486031,0.0,5.299066543579102,20,75,20
T,0.1414787322282791,0.23647854486845854,0.0,0.7679290771484375,20,75,30
RH,2.4068031311035156,2.5026674345330653,0.0,3.3497886657714844,20,75,30
T,0.2326713502407074,0.31367137239066745,0.0,0.671905517578125,20,75,40
RH,1.103772521018982,1.1687030844018322,0.0,1.9501113891601562,20,75,40
T,0.6228885650634766,0.8422144586498297,0.0,1.5221328735351562,20,75,50
RH,1.1893160343170166,1.2942423929304454,0.0,1.9726829528808594,20,75,50
T,1.085822343826294,1.2148815774701278,0.0,2.3379058837890625,20,75,60
RH,1.0476396083831787,1.4327633814988054,0.0,3.80206298828125,20,75,60
T,2.162304639816284,2.1755231776159025,0.0,2.778045654296875,20,75,70
RH,2.1743671894073486,2.267884489222835,0.0,3.0139923095703125,20,75,70
T,1.967484712600708,2.0689463588496246,0.0,3.3081130981445312,20,75,80
RH,4.48185396194458,4.849431797053389,0.0,8.380050659179688,20,75,80
