target,mae,rmse,r2,max_abs,n_samples,T_holdout,RH_holdout
T,0.2079440467428654,0.22340272956080207,0.0,0.3516311273631061,20,35,20
RH,6.508725631510958,6.539320714684729,0.0,7.603756411563985,20,35,20
T,0.42368754660002705,0.42847001009187574,0.0,0.5573399999374402,20,35,30
RH,4.2731281952595666,4.2954045888278385,0.0,5.0320382317686985,20,35,30
T,0.1156009036197169,0.1365652292725219,0.0,0.24470955836413566,20,35,40
RH,3.6376360402764347,3.667853144842389,0.0,4.951831900626658,20,35,40
T,0.042888065208437,0.053677874899681746,0.0,0.11762044272158789,20,35,50
RH,0.7994043382858379,0.8438283476647387,0.0,1.227501402321721,20,35,50
T,0.13014941867117216,0.15824983370106685,0.0,0.3433277347949826,20,35,60
RH,1.1493893559172768,1.3103219044921308,0.0,2.106386409731769,20,35,60
T,0.233670022532306,0.24655231464224212,0.0,0.33316663670139235,20,35,70
RH,1.0272157422433026,1.1201802781861223,0.0,1.7449059546598562,20,35,70
T,0.2818993011677975,0.29908553757061335,0.0,0.43762180860473165,20,35,80
RH,1.4773882985635567,1.6537268968388863,0.0,3.0195195744503565,20,35,80
T,0.05104713092847,0.06896611532249428,0.0,0.17120105592094603,20,45,20
RH,3.147703532158473,3.1916354228068013,0.0,3.9978236122756172,20,45,20
T,0.13565188551231094,0.16064807716492627,0.0,0.27320618260037577,20,45,30
RH,1.955852889634555,2.0215694439599594,0.0,3.124344287462197,20,45,30
T,0.11601438754791574,0.12786818601756536,0.0,0.21382186828422078,20,45,40
RH,3.4574000170974157,3.4880697203701025,0.0,4.481303859992934,20,45,40
T,0.13921608612243475,0.1460734246914057,0.0,0.21402402352390482,20,45,50
RH,1.5354033984038082,1.651871907222809,0.0,2.9686428115962613,20,45,50
T,0.15628367608841423,0.1705875538078491,0.0,0.31133910495579187,20,45,60
RH,0.8978985537903614,0.9737781492431258,0.0,1.8566166348348787,20,45,60
T,0.14236200185307837,0.15620839913590473,0.0,0.27993305706302607,20,45,70
RH,1.358410238436067,1.4482557397353295,0.0,2.1559236535906194,20,45,70
T,0.15243006198468834,0.16467953346515962,0.0,0.25603799409644523,20,45,80
RH,1.1777810212790818,1.371755342025189,0.0,2.3261693157482455,20,45,80
T,0.05873627219566444,0.07718731946603771,0.0,0.1872698363435319,20,55,20
RH,2.398346012295824,2.5003058571607055,0.0,3.7739011468111343,20,55,20
T,0.44595187233313993,0.4527058574415325,0.0,0.6241805176311104,20,55,30
RH,1.6735372501708057,1.7117640961942333,0.0,2.243808716863832,20,55,30
T,0.26201951218709885,0.2677603064702146,0.0,0.3505082143225522,20,55,40
RH,0.41099204349559315,0.4764954255918832,0.0,0.9376675945156592,20,55,40
T,0.0810885212114556,0.09618362656551224,0.0,0.19848815028346678,20,55,50
RH,0.6568592970920484,0.8328663033812365,0.0,1.6881476586752413,20,55,50
T,0.05691577229635456,0.06796041213887971,0.0,0.15006929434935046,20,55,60
RH,0.8989418037220854,1.097722622497367,0.0,2.3763100987676893,20,55,60
T,0.038058571538927666,0.04842841463152584,0.0,0.10123502283985175,20,55,70
RH,1.2463619850293064,1.58908739529329,0.0,3.859749702307468,20,55,70
T,0.036065174192802016,0.045159798880584426,0.0,0.11743281103705527,20,55,80
RH,0.9125437210143872,1.1189953404806134,0.0,2.1251974354909464,20,55,80
T,0.06876165414536288,0.08119976582268752,0.0,0.1363989717073366,20,65,20
RH,3.1089141225618375,3.149896015352855,0.0,4.052020959514309,20,65,20
T,0.10458829130161931,0.11581261408882151,0.0,0.18124806165462815,20,65,30
RH,1.7880063148464445,2.0358969318742504,0.0,3.1669016953138467,20,65,30
T,0.09924460733921378,0.118462605492656,0.0,0.2442562107495121,20,65,40
RH,0.6240389930898843,0.8013684662749193,0.0,1.749037851675233,20,65,40
T,0.07476772824366762,0.09098487209321697,0.0,0.17300216100332477,20,65,50
RH,1.107377605141732,1.2186161615643396,0.0,2.4093244573269033,20,65,50
T,0.07505521769561482,0.0852806163423077,0.0,0.19037897733386444,20,65,60
RH,0.8905591619445747,1.1663336848257173,0.0,2.65967316326649,20,65,60
T,0.07651103139563417,0.1057727171232032,0.0,0.292536667956,20,65,70
RH,0.7867665704983402,1.0249193511599748,0.0,2.22456026808554,20,65,70
T,0.09466055270816938,0.11005195297006738,0.0,0.21078620888506805,20,65,80
RH,1.061966189990406,1.371204497731811,0.0,2.561269418729836,20,65,80
T,0.1414448034403179,0.16138702481598122,0.0,0.30341387411812093,20,75,20
RH,1.8685033738431414,2.00634952003126,0.0,2.759690880157006,20,75,20
T,0.08556675714438526,0.11339599383062478,0.0,0.2670406429336367,20,75,30
RH,0.7932584286217663,1.0599084509139287,0.0,2.4769444475041134,20,75,30
T,0.08103316713898892,0.09222980349728253,0.0,0.14074811847683577,20,75,40
RH,0.610951582964687,0.7825862013863714,0.0,1.5927124460095499,20,75,40
T,0.082615042985136,0.10777335003315983,0.0,0.2424668680801716,20,75,50
RH,1.2085827980528054,1.5056355511833304,0.0,3.302619736798164,20,75,50
T,0.1821814472731198,0.1983634583498241,0.0,0.38151015082786444,20,75,60
RH,0.7562551360251291,0.9831827590576085,0.0,2.512064427853481,20,75,60
T,0.12338198433667387,0.1567815955306562,0.0,0.3447910338649507,20,75,70
RH,1.145544112628049,1.3388280206917784,0.0,2.3762815783245657,20,75,70
T,0.27414449385684064,0.29263751449859093,0.0,0.4413188414876288,20,75,80
RH,1.2019115402589229,1.4237395895386793,0.0,2.848740149295139,20,75,80
