target,mae,rmse,r2,max_abs,n_samples,model,T_holdout,RH_holdout
T,0.18685299983750206,0.20339960976264515,0.0,0.32677227881742965,20,ridge,35,20
RH,6.5085594694129325,6.5391582575588565,0.0,7.643270259648908,20,ridge,35,20
T,0.4049412472390436,0.4108758922741288,0.0,0.5672983128810003,20,ridge,35,30
RH,4.368471045178981,4.392804286955716,0.0,5.201288505937825,20,ridge,35,30
T,0.08385137491819421,0.10785276038601346,0.0,0.2258588446206602,20,ridge,35,40
RH,3.568917106812351,3.6034013937870863,0.0,4.9390202342131815,20,ridge,35,40
T,0.07607611420098515,0.09163076572251481,0.0,0.2083169872971098,20,ridge,35,50
RH,0.770405874802556,0.8252531836212681,0.0,1.1618285635537475,20,ridge,35,50
T,0.12065496156654695,0.15112845176874123,0.0,0.3457375411596715,20,ridge,35,60
RH,1.2539981707393681,1.397675927818385,0.0,2.2052378975349995,20,ridge,35,60
T,0.1651094999451317,0.18316357605232084,0.0,0.2825091233186896,20,ridge,35,70
RH,0.9492035577394908,1.059700621477978,0.0,1.7260087616234898,20,ridge,35,70
T,0.2569621169692432,0.27685575095607795,0.0,0.4278121576506564,20,ridge,35,80
RH,1.428041550953958,1.6383560107642208,0.0,3.152559733195446,20,ridge,35,80
T,0.07024041511868014,0.08167590705139359,0.0,0.157373068926276,20,ridge,45,20
RH,3.3224707858312557,3.36127677193546,0.0,4.1889662160544425,20,ridge,45,20
T,0.1758505237773708,0.20651183854420468,0.0,0.36044391602039383,20,ridge,45,30
RH,1.8194976352176333,1.89908810372405,0.0,3.047384040862159,20,ridge,45,30
T,0.10988783084370084,0.12691982609504301,0.0,0.20927713056171626,20,ridge,45,40
RH,3.3762500044374475,3.4088531757672778,0.0,4.39668657733975,20,ridge,45,40
T,0.1517466044524415,0.16242872611483014,0.0,0.24001101889261633,20,ridge,45,50
RH,1.4979207074887626,1.610267485129286,0.0,2.793017722671827,20,ridge,45,50
