target,mae,rmse,r2,max_abs,n_samples,T_holdout,RH_holdout
T,0.18685299983751272,0.20339960976265237,0.0,0.32677227881741544,20,35,20
RH,6.508559469412889,6.53915825755881,0.0,7.643270259648798,20,35,20
T,0.40494124723906566,0.410875892274154,0.0,0.56729831288105,20,35,30
RH,4.368471045178995,4.392804286955728,0.0,5.201288505937708,20,35,30
T,0.08385137491814554,0.1078527603859577,0.0,0.22585884462058914,20,35,40
RH,3.5689171068125645,3.6034013937872964,0.0,4.939020234213324,20,35,40
T,0.07607611420094429,0.09163076572248033,0.0,0.20831698729705295,20,35,50
RH,0.7704058748026096,0.825253183621314,0.0,1.1618285635538044,20,35,50
T,0.12065496156658284,0.1511284517687841,0.0,0.34573754115976385,20,35,60
RH,1.253998170739339,1.3976759278183442,0.0,2.20523789753495,20,35,60
T,0.1651094999451704,0.1831635760523611,0.0,0.2825091233187891,20,35,70
RH,0.9492035577393707,1.0597006214778646,0.0,1.726008761623305,20,35,70
T,0.2569621169690414,0.2768557509558917,0.0,0.42781215765045033,20,35,80
RH,1.428041550953934,1.6383560107642274,0.0,3.1525597331956163,20,35,80
T,0.07024041511871673,0.08167590705143142,0.0,0.1573730689263826,20,45,20
RH,3.3224707858315186,3.361276771935712,0.0,4.188966216054688,20,45,20
T,0.17585052377750898,0.20651183854433325,0.0,0.3604439160205999,20,45,30
RH,1.8194976352175936,1.89908810372402,0.0,3.0473840408621875,20,45,30
T,0.10988783084388451,0.12691982609522795,0.0,0.2092771305619081,20,45,40
RH,3.3762500044374697,3.4088531757672977,0.0,4.396686577339743,20,45,40
T,0.15174660445262056,0.16242872611499745,0.0,0.24001101889280108,20,45,50
RH,1.4979207074886276,1.610267485129152,0.0,2.7930177226716992,20,45,50
T,0.15600778747408697,0.16958302294580732,0.0,0.30011612941741816,20,45,60
RH,0.8494374137154928,0.9226834189729259,0.0,1.6806925263639627,20,45,60
T,0.16653146035134264,0.17552586596156972,0.0,0.2638869414175886,20,45,70
RH,1.3966269721735884,1.4767178471983062,0.0,2.0557334104801868,20,45,70
T,0.15320364024872896,0.1639166269557697,0.0,0.2691543722169243,20,45,80
RH,1.2967379104665546,1.5139494090700865,0.0,2.5337640351095843,20,45,80
T,0.10544022957725367,0.126480603181674,0.0,0.25139574593926284,20,55,20
RH,2.602479834672576,2.689854571643208,0.0,3.8449032394448537,20,55,20
T,0.44964184437927307,0.4574445815951382,0.0,0.6473188066099667,20,55,30
RH,1.5648316124639488,1.6105323786060497,0.0,2.2052782035243297,20,55,30
T,0.23814733338944158,0.24674483067670827,0.0,0.35388959239558204,20,55,40
RH,0.40702589851651183,0.47750967168826697,0.0,1.051216875082666,20,55,40
T,0.05940205281927291,0.0744889732327072,0.0,0.16237658903855845,20,55,50
RH,0.511385715576559,0.6749127306041187,0.0,1.3957407186386135,20,55,50
T,0.05618937988247126,0.07074166319591059,0.0,0.14469292407924428,20,55,60
RH,0.8860007859916464,1.0630984585441376,0.0,2.2656325603534597,20,55,60
T,0.0438378356202108,0.058252492114846004,0.0,0.1699662077618811,20,55,70
RH,1.3104702195416187,1.668443501266713,0.0,3.75749864538291,20,55,70
T,0.07233617426028545,0.08390304463488744,0.0,0.17210406301807524,20,55,80
RH,0.946465065822153,1.1540188578379584,0.0,2.275830586271013,20,55,80
T,0.09034062334170016,0.10620274767233137,0.0,0.17720112969088575,20,65,20
RH,3.2238780559399784,3.2685610455168823,0.0,4.197942423291476,20,65,20
T,0.06084642001569947,0.07000042597723966,0.0,0.1225774173404659,20,65,30
RH,1.8332771372784458,2.0484378317200815,0.0,3.04151691804897,20,65,30
T,0.08708073320401226,0.10925027292018341,0.0,0.2640004686267474,20,65,40
RH,0.8411287642044059,1.0106198652951224,0.0,2.0982331906383678,20,65,40
T,0.07926674985586786,0.09419118115252041,0.0,0.1959019563335005,20,65,50
RH,0.8674473071235251,1.052496019583577,0.0,2.3379559209912912,20,65,50
T,0.07935439102219703,0.08641158392898389,0.0,0.15718668619157938,20,65,60
RH,0.9266994792556599,1.1568291932675905,0.0,2.3993752629423213,20,65,60
T,0.07820275539390238,0.10815471987955508,0.0,0.27621807011360033,20,65,70
RH,0.9036508116283073,1.1581377054936839,0.0,2.469929232163665,20,65,70
T,0.10010849976807563,0.12077477896813126,0.0,0.26279655422554526,20,65,80
RH,1.3265312645365277,1.641766518579134,0.0,3.0986479375734888,20,65,80
T,0.1553972975715851,0.18011232956150053,0.0,0.36392486101014754,20,75,20
RH,1.7343050950057666,1.8710809363019543,0.0,2.718749292632719,20,75,20
T,0.09800137362088109,0.1285301840481244,0.0,0.34929100822137116,20,75,30
RH,0.8375992142268723,1.099900381598661,0.0,2.573520306616569,20,75,30
T,0.09570443431905602,0.10650020994831871,0.0,0.15974839925340234,20,75,40
RH,0.7288036917749245,0.884823961589757,0.0,1.6805070111507021,20,75,40
T,0.1152808293148155,0.1544044866906426,0.0,0.2887440901377829,20,75,50
RH,1.095390017707975,1.538475519460265,0.0,4.463850276692952,20,75,50
T,0.1633651460546055,0.1902069763112071,0.0,0.4041743676547469,20,75,60
RH,0.7584056930047435,1.0178703382228895,0.0,2.7441838540426815,20,75,60
T,0.13807442025521938,0.17445945129296372,0.0,0.38281915513732656,20,75,70
RH,1.271614308436473,1.4747772228694853,0.0,2.578462307940967,20,75,70
T,0.21963678961264535,0.24663199165040386,0.0,0.40585043110699814,20,75,80
RH,1.52732772024124,1.848206795217416,0.0,4.049985140116277,20,75,80
