target,mae,rmse,r2,max_abs,n_samples,T_holdout,RH_holdout
T,0.33111111111111563,0.3420941318726933,0.0,0.4833333333333414,20,35,20
RH,12.499583333333328,12.631049879753256,0.0,15.217777777777776,20,35,20
T,0.1866666666666692,0.2820614152543906,0.0,0.8277777777777828,20,35,30
RH,9.65,9.653220533410943,0.0,10.0,20,35,30
T,1.482500000000004,1.482748011857267,0.0,1.5499999999999972,20,35,40
RH,11.078333333333337,11.080214682369988,0.0,11.383333333333333,20,35,40
T,1.272222222222225,1.2724641933888736,0.0,1.31388888888889,20,35,50
RH,7.144444444444441,7.146169223290278,0.0,7.394444444444439,20,35,50
T,1.7102777777777773,1.8170493141014483,0.0,2.4666666666666686,20,35,60
RH,10.751916666666661,10.814006511761477,0.0,13.821111111111115,20,35,60
T,3.7891666666666657,3.8051859106770074,0.0,4.797777777777775,20,35,70
RH,10.664305555555556,10.674578897786166,0.0,11.825000000000003,20,35,70
T,6.06,6.060152179974066,0.0,6.200000000000003,20,35,80
RH,9.970000000000002,9.970010587311888,0.0,10.033333333333331,20,35,80
T,0.30999999999999944,0.34189017079888173,0.0,0.7000000000000028,20,45,20
RH,12.595,12.682667525231258,0.0,15.0,20,45,20
T,1.3591666666666669,1.439960454703917,0.0,2.0166666666666657,20,45,30
RH,6.991666666666665,8.449779747293876,0.0,13.233333333333334,20,45,30
T,0.5054166666666656,0.5157013832312899,0.0,0.6000000000000014,20,45,40
RH,9.426111111111112,9.468808280185717,0.0,9.81666666666667,20,45,40
T,9.141666666666666,9.145366161189076,0.0,9.366666666666667,20,45,50
RH,7.911666666666667,7.9357804349106775,0.0,8.799999999999997,20,45,50
T,0.8527222222222222,0.9093934011332455,0.0,1.2000000000000028,20,45,60
RH,5.273944444444446,5.669986777914779,0.0,10.22888888888889,20,45,60
T,0.2597222222222225,0.395095315894754,0.0,1.18888888888889,20,45,70
RH,4.773333333333333,5.47803695577977,0.0,9.900000000000006,20,45,70
T,0.8583333333333325,0.8771481567494098,0.0,1.3999999999999986,20,45,80
RH,9.960000000000003,9.960008924583242,0.0,9.966666666666669,20,45,80
T,0.522777777777781,0.6074486210046883,0.0,1.0388888888888914,20,55,20
RH,11.353333333333333,11.355028254771833,0.0,11.783333333333335,20,55,20
T,1.2983333333333338,1.3351446030715597,0.0,1.7000000000000028,20,55,30
RH,10.723888888888888,10.72523820564845,0.0,10.93888888888889,20,55,30
T,3.0875,3.1004004619873475,0.0,3.6777777777777843,20,55,40
RH,9.52111111111111,9.533050209471064,0.0,10.100000000000001,20,55,40
T,0.5599999999999998,0.6012024987010987,0.0,1.2000000000000028,20,55,50
RH,8.816666666666666,9.14880684388225,0.0,10.133333333333333,20,55,50
T,0.173333333333332,0.17384539747206948,0.0,0.20000000000000284,20,55,60
RH,9.43833333333333,9.439194292358264,0.0,9.700000000000003,20,55,60
T,0.5809444444444438,0.5846090283680043,0.0,0.7844444444444463,20,55,70
RH,4.295000000000003,4.340100485267851,0.0,5.0,20,55,70
T,1.1377777777777762,1.1399791529391226,0.0,1.2000000000000028,20,55,80
RH,9.982777777777779,9.982881953562579,0.0,10.0,20,55,80
T,1.2233333333333314,1.2295437274768932,0.0,1.43333333333333,20,65,20
RH,9.385,9.38602684845936,0.0,9.600000000000001,20,65,20
T,0.2316666666666663,0.4304390523381653,0.0,1.4000000000000057,20,65,30
RH,7.133333333333333,7.156630569696266,0.0,9.5,20,65,30
T,3.4216666666666677,3.694507935962365,0.0,4.733333333333334,20,65,40
RH,3.8913888888888892,4.791021856775313,0.0,11.116666666666667,20,65,40
T,9.7,9.700000000000005,0.0,9.700000000000003,20,65,50
RH,9.466666666666669,9.466666666666669,0.0,9.466666666666669,20,65,50
T,1.0051388888888866,1.0217052210114088,0.0,1.1666666666666714,20,65,60
RH,9.663333333333334,9.670292423476944,0.0,10.06666666666667,20,65,60
T,1.1663888888888934,1.1664450847778818,0.0,1.2000000000000028,20,65,70
RH,9.651666666666664,9.651945687557276,0.0,9.700000000000003,20,65,70
T,0.7666666666666657,0.7666666666666656,0.0,0.7666666666666657,20,65,80
RH,10.0,10.0,0.0,10.0,20,65,80
T,0.5654166666666655,0.5697008230446717,0.0,0.7999999999999972,20,75,20
RH,9.983333333333334,9.983391763880205,0.0,10.066666666666666,20,75,20
T,4.179999999999999,4.182592895959793,0.0,4.533333333333331,20,75,30
RH,6.777222222222221,6.777324210688914,0.0,6.916666666666664,20,75,30
T,0.2999999999999979,0.30876096471758196,0.0,0.5999999999999943,20,75,40
RH,10.0,10.0,0.0,10.0,20,75,40
T,0.5899999999999984,0.5914201364324487,0.0,0.6666666666666714,20,75,50
RH,7.683333333333332,7.683416485450263,0.0,7.733333333333334,20,75,50
T,0.4000000000000057,0.4000000000000057,0.0,0.4000000000000057,20,75,60
RH,10.0,10.0,0.0,10.0,20,75,60
T,0.7999999999999972,0.7999999999999972,0.0,0.7999999999999972,20,75,70
RH,8.720000000000002,8.723378550385931,0.0,9.13333333333334,20,75,70
T,4.433333333333337,4.433333333333338,0.0,4.433333333333337,20,75,80
RH,5.566666666666663,5.566666666666663,0.0,5.566666666666663,20,75,80
