target,mae,rmse,r2,max_abs,n_samples,T_holdout,RH_holdout
T,0.09931427864353318,0.131649983235787,0.0,0.2657955007084922,20,35,20
RH,7.733793805414882,7.856274178925059,0.0,10.198183681530907,20,35,20
T,0.06646854306319874,0.08002740862737122,0.0,0.16933459933894568,20,35,30
RH,4.3741344372589115,4.578600946129698,0.0,6.7395087604923845,20,35,30
T,0.052545339429006785,0.07067406700213057,0.0,0.164150094461867,20,35,40
RH,1.363448047032054,1.638262246562226,0.0,3.1812250406692826,20,35,40
T,0.04487094436350105,0.05112438497367546,0.0,0.09699679590057286,20,35,50
RH,0.9375974246842276,1.0632888534303842,0.0,1.776998487630138,20,35,50
T,0.04688711210689291,0.05468890818056304,0.0,0.09346354267495371,20,35,60
RH,0.3062739823860497,0.43509899726338436,0.0,1.2310273381475128,20,35,60
T,0.0346776118276626,0.04360514532639244,0.0,0.09957709055866815,20,35,70
RH,1.3621489331794578,1.4593648010268756,0.0,2.1924895475165727,20,35,70
T,0.14946560763317224,0.16653714410872852,0.0,0.3238402312557298,20,35,80
RH,2.039119428846645,2.1323328589044674,0.0,3.353473799058392,20,35,80
T,0.2808530200357435,0.2841798983967657,0.0,0.3448396673181904,20,45,20
RH,3.279586110427401,3.5203518939187752,0.0,6.595625972368744,20,45,20
T,0.08828065005155956,0.10634481216977736,0.0,0.18994444791540133,20,45,30
RH,0.8412526819917303,0.9885992185732205,0.0,2.020567518992557,20,45,30
T,0.04678643057443281,0.056329267425564114,0.0,0.09738980322729418,20,45,40
RH,1.858359846068494,1.9901014039145075,0.0,3.159753834289141,20,45,40
T,0.03382702039638232,0.04119268259694228,0.0,0.08019115627416795,20,45,50
RH,0.25775620966985857,0.3542572542561857,0.0,1.0222268503310943,20,45,50
T,0.0547664831269401,0.06659283061587623,0.0,0.14468755731095229,20,45,60
RH,0.297145570931562,0.3828438194345486,0.0,0.9235699610688144,20,45,60
T,0.04556235645292368,0.0651921979849641,0.0,0.18693520464693592,20,45,70
RH,0.7358264587132908,0.8113027638259859,0.0,1.2694817733496393,20,45,70
T,0.07127748331626335,0.08917728684470284,0.0,0.2121594857354907,20,45,80
RH,0.444917563252713,0.5762127571576202,0.0,1.2912764622304564,20,45,80
T,0.4750967757062384,0.48085194206810383,0.0,0.5962500356493123,20,55,20
RH,0.645256784704516,0.8597149737665217,0.0,2.200110169020931,20,55,20
T,0.34420685312733923,0.35130655773500713,0.0,0.4592562718743025,20,55,30
RH,0.882018753012035,0.9569625351160884,0.0,1.502863078499466,20,55,30
T,0.056072940605151445,0.06966836522990813,0.0,0.14013941829758636,20,55,40
RH,0.29290430304518084,0.34062038565259756,0.0,0.6218393936527704,20,55,40
T,0.07588531312562238,0.0930304557308648,0.0,0.21361475028425758,20,55,50
RH,0.5585469531966126,0.6712183234746962,0.0,1.2490320488873152,20,55,50
T,0.033042894310726115,0.04583356922553177,0.0,0.12309333081208962,20,55,60
RH,0.3383944202606429,0.3845644883598338,0.0,0.7127679013216977,20,55,60
T,0.05014365799388898,0.06261068945490876,0.0,0.15193601032916604,20,55,70
RH,0.5259297289930089,0.6524387096861478,0.0,1.6992383669148978,20,55,70
T,0.07325238735293169,0.08952661380573636,0.0,0.19213528282836734,20,55,80
RH,1.1465641277964493,1.3116207528993318,0.0,3.2632286773876586,20,55,80
T,0.11316781311323325,0.1395140397725185,0.0,0.27598046171584656,20,65,20
RH,0.6221997412509644,0.8352349480199364,0.0,1.968978587384207,20,65,20
T,0.1378223985504768,0.14666305413499384,0.0,0.2283325265835714,20,65,30
RH,1.5577128686245558,1.6111509066722352,0.0,2.1593294361793554,20,65,30
T,0.05324863603591936,0.06307459199616053,0.0,0.10510279160408231,20,65,40
RH,0.5132006484792271,0.5862827736940316,0.0,1.102254803317983,20,65,40
T,0.05491357986892211,0.08769699299329302,0.0,0.33725667217834143,20,65,50
RH,0.485602798369235,0.6370537803062593,0.0,1.8065621175776485,20,65,50
T,0.05417128977533281,0.0759598356068151,0.0,0.2430495807022055,20,65,60
RH,0.69621629129052,0.7733102654942127,0.0,1.5161160821689208,20,65,60
T,0.07474435663596068,0.09070894332432984,0.0,0.20304793196621063,20,65,70
RH,0.730329980663592,0.8000850216735974,0.0,1.53530656814209,20,65,70
T,0.09082129615086316,0.1131942089583311,0.0,0.24172820931967465,20,65,80
RH,0.5167032555536736,0.6486827149542574,0.0,1.1868304080339982,20,65,80
T,0.1308160204184702,0.15923162234872343,0.0,0.31697458253947275,20,75,20
RH,0.8289984449896259,0.9334073808360233,0.0,1.5131778024874265,20,75,20
T,0.08411410317211435,0.10531513729405705,0.0,0.21769563155515925,20,75,30
RH,0.5700706440221304,0.6824892066981959,0.0,1.44326491556982,20,75,30
T,0.06766795565911181,0.08181928886101605,0.0,0.18150334807364743,20,75,40
RH,0.44070414273273856,0.5560368682394748,0.0,1.2858307239324063,20,75,40
T,0.060307999751771035,0.07403481559066939,0.0,0.14276738628522878,20,75,50
RH,0.4401806410982488,0.6140989078978718,0.0,1.8615021212020793,20,75,50
T,0.06507966877398345,0.10761676419606274,0.0,0.41318067237531864,20,75,60
RH,0.6411297727866007,0.7853045189402704,0.0,1.7596441312974562,20,75,60
T,0.07926020082065292,0.09895978511155258,0.0,0.2403605266310933,20,75,70
RH,0.634380612324432,0.7486819839006724,0.0,1.5003259718654647,20,75,70
T,0.16168300227649154,0.21435551652812768,0.0,0.6107303377199429,20,75,80
RH,0.5595912637880801,0.654728105395325,0.0,1.379833211918168,20,75,80
